id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO512552741,MCO,Cámara Ip Wifi Seguridad Robótica Vision Nocturna 360° + Obs,84900,,COP,1,500,buy_it_now,gold_special,2039-09-19T02:12:40.000Z,new,https://articulo.mercadolibre.com.co/MCO-512552741-camara-ip-wifi-seguridad-robotica-vision-nocturna-360-obs-_JM,http://http2.mlstatic.com/D_717649-MCO44248987591_122020-O.jpg,717649-MCO44248987591_122020,True,150000,MCO5844,,MCO-SURVEILLANCE_CAMERAS,,50,False,,,,,,229745544,,,False,False,,MCO512552741,"[{'id': '10', 'type': 'standard', 'amount': 150000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-14T01:41:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '12', 'type': 'promotion', 'amount': 84900, 'regular_amount': 150000, 'currency_id': 'COP', 'last_updated': '2022-01-21T03:35:21Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2358.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTTTI0MjE0,Usme,True,me2,"['fulfillment', 'fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Usme,,,4,Vision,Nuevo,,7,0,1,1
MCO656950259,MCO,Gabinete Superior Vidrio Rovere 150 Cm Bylmo,398900,,COP,250,25,buy_it_now,gold_pro,2041-08-12T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-656950259-gabinete-superior-vidrio-rovere-150-cm-bylmo-_JM,http://http2.mlstatic.com/D_702912-MCO47138121168_082021-O.jpg,702912-MCO47138121168_082021,True,398900,MCO166161,,MCO-KITCHEN_CABINETS,,49,False,,,,,,634939938,,,False,False,,MCO656950259,"[{'id': '22', 'type': 'standard', 'amount': 570900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-12T03:17:31Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '24', 'type': 'promotion', 'amount': 379000, 'regular_amount': 570900, 'currency_id': 'COP', 'last_updated': '2022-01-30T23:36:08Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T05:00:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4023001', 'promotion_id': 'MCO656950259-1ada776a-4870-438a-860f-316f33b275a9', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 19900, 'campaign_discount_percentage': 33.61, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 398900}}]",{'display_currency': 'COP'},[],[],[],12,33241.67,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,not_specified,[],not_specified,False,,,,,Colombia,Antioquia,Medellín,,,3,Bylmo,Nuevo,Vidrio,5,1,1,1
MCO585415534,MCO,Tabla De Cocina Para Picar Cortar Plegable Multifuncional ,19000,,COP,50,500,buy_it_now,gold_pro,2040-09-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-585415534-tabla-de-cocina-para-picar-cortar-plegable-multifuncional-_JM,http://http2.mlstatic.com/D_988273-MCO43623942409_092020-O.jpg,988273-MCO43623942409_092020,True,20000,MCO170688,,MCO-CUTTING_BOARDS,,48,False,,,,,,539193247,,,False,False,,MCO585415534,"[{'id': '1', 'type': 'standard', 'amount': 20000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-01-26T14:13:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 19000, 'regular_amount': 20000, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:10:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-22T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622808-MCO585415534', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,1583.33,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],cross_docking,False,,,,,Colombia,Valle Del Cauca,Cali,,,3,,Nuevo,,4,0,0,1
MCO605162553,MCO,Alacena Nepal Wengue,302900,,COP,200,50,buy_it_now,gold_special,2041-08-14T15:21:22.000Z,new,https://articulo.mercadolibre.com.co/MCO-605162553-alacena-nepal-wengue-_JM,http://http2.mlstatic.com/D_773251-MCO44767430102_012021-O.jpg,773251-MCO44767430102_012021,True,605900,MCO166161,1471.0,MCO-KITCHEN_CABINETS,,47,False,,,,,,686352448,,,False,False,,MCO605162553,"[{'id': '91', 'type': 'standard', 'amount': 605900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T16:34:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '94', 'type': 'promotion', 'amount': 302900, 'regular_amount': 605900, 'currency_id': 'COP', 'last_updated': '2022-02-14T16:37:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,8413.89,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,3,RTA DESING,Nuevo,ALW 4024,4,0,1,1
MCO647304292,MCO,Cuna Multifuncional Natal - Blanca,405990,,COP,1,50,buy_it_now,gold_special,2041-07-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-647304292-cuna-multifuncional-natal-blanca-_JM,http://http2.mlstatic.com/D_739760-MCO47323989151_092021-O.jpg,739760-MCO47323989151_092021,True,772990,MCO420304,1627.0,MCO-CRIBS,,46,False,,,,,,772310874,,,False,False,,MCO647304292,"[{'id': '1', 'type': 'standard', 'amount': 603990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-16T21:54:11Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '77', 'type': 'promotion', 'amount': 405990, 'regular_amount': 772990, 'currency_id': 'COP', 'last_updated': '2022-02-09T12:19:50Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,11277.5,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,custom,[],custom,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,3,MUEBLES 2020,Nuevo,Natal,4,0,1,1
MCO622665361,MCO,Cortinas Jacquard X1 Tela Sala O Habitación 150 Cm X210 Cm,33915,,COP,500,250,buy_it_now,gold_special,2042-01-27T19:22:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-622665361-cortinas-jacquard-x1-tela-sala-o-habitacion-150-cm-x210-cm-_JM,http://http2.mlstatic.com/D_893989-MCO46014094380_052021-O.jpg,893989-MCO46014094380_052021,True,39900,MCO116391,,MCO-INDOOR_CURTAINS_AND_BLINDS,,45,False,,,,,,204351300,,,False,False,,MCO622665361,"[{'id': '9', 'type': 'standard', 'amount': 39900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-26T17:12:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '71', 'type': 'promotion', 'amount': 31920, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T17:00:00Z', 'end_time': '2022-02-15T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1605664-MCO622665361', 'promotion_type': 'lightning'}}, {'id': '72', 'type': 'promotion', 'amount': 33915, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '73', 'type': 'promotion', 'amount': 31920, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '74', 'type': 'promotion', 'amount': 31920, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '75', 'type': 'promotion', 'amount': 31920, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '76', 'type': 'promotion', 'amount': 31920, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-11T23:07:03Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,942.08,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RVTjE0ODY0,Tunjuelito,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Tunjuelito,,,5,Jacquard Nacional,Nuevo,Botón prensado,6,1,1,1
MCO833677099,MCO,"Bar Esquinero Syrah, Wengue",381900,,COP,1,25,buy_it_now,gold_special,2041-11-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-833677099-bar-esquinero-syrah-wengue-_JM,http://http2.mlstatic.com/D_946948-MCO48281900132_112021-I.jpg,946948-MCO48281900132_112021,True,611900,MCO414036,1471.0,MCO-HOME_SUPPLIES,,44,True,,,,,,686352448,,,False,False,,MCO833677099,"[{'id': '19', 'type': 'standard', 'amount': 543900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-03T12:56:18Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '32', 'type': 'promotion', 'amount': 381900, 'regular_amount': 611900, 'currency_id': 'COP', 'last_updated': '2022-02-07T14:28:22Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,10608.33,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,True,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,1,,Nuevo,,3,0,0,1
MCO557970863,MCO,Dispensador De Crema Dental Con Porta Cepillos,9059,,COP,50,500,buy_it_now,gold_pro,2040-03-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-557970863-dispensador-de-crema-dental-con-porta-cepillos-_JM,http://http2.mlstatic.com/D_837139-MCO43774518419_102020-I.jpg,837139-MCO43774518419_102020,True,9536,MCO387931,,MCO-TOOTHBRUSH_HOLDERS,,43,True,,,,,,539193247,,,False,False,,MCO557970863,"[{'id': '19', 'type': 'standard', 'amount': 9059, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:09:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '18', 'type': 'promotion', 'amount': 9059, 'regular_amount': 9536, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:09:41Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-22T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622745-MCO557970863', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,754.92,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],cross_docking,False,,,,,Colombia,Valle Del Cauca,Cali,,,6,Toothpaste,Nuevo,TD-5,4,0,0,1
MCO618658038,MCO,Escritorio Bylmo Astana Rovere 120 Cm,220900,,COP,250,50,buy_it_now,gold_pro,2041-04-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-618658038-escritorio-bylmo-astana-rovere-120-cm-_JM,http://http2.mlstatic.com/D_702687-MCO45692006841_042021-O.jpg,702687-MCO45692006841_042021,True,220900,MCO177112,,MCO-HOME_OFFICE_DESKS,,42,False,,,,,,634939938,,,False,False,,MCO618658038,"[{'id': '30', 'type': 'standard', 'amount': 322900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-12T03:17:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '33', 'type': 'promotion', 'amount': 209900, 'regular_amount': 322900, 'currency_id': 'COP', 'last_updated': '2022-01-30T23:36:57Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T05:00:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4023001', 'promotion_id': 'MCO618658038-92d8b25f-6ad4-459b-9563-2979f1044447', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 11000, 'campaign_discount_percentage': 35, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 220900}}]",{'display_currency': 'COP'},[],[],[],12,18408.33,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,not_specified,[],not_specified,False,,,,,Colombia,Antioquia,Medellín,,,4,Bylmo,Nuevo,ELR5618,5,1,1,1
MCO579339384,MCO,Batidor En Nylon Importado  Se Puede Recoger Variedad De C,8219,,COP,1,150,buy_it_now,gold_pro,2041-03-26T21:42:42.000Z,new,https://articulo.mercadolibre.com.co/MCO-579339384-batidor-en-nylon-importado-se-puede-recoger-variedad-de-c-_JM,http://http2.mlstatic.com/D_682261-MCO43276926125_082020-I.jpg,682261-MCO43276926125_082020,True,10791,MCO413433,,MCO-KITCHEN_WHISKS,,41,True,,,,,,304621565,,,False,False,,MCO579339384,"[{'id': '2', 'type': 'standard', 'amount': 10791, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-25T00:08:11Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '23', 'type': 'promotion', 'amount': 10251, 'regular_amount': 10791, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:33:41Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '24', 'type': 'promotion', 'amount': 7758, 'regular_amount': 10791, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:33:41Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-09T13:00:00Z', 'end_time': '2022-02-19T13:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO3492001', 'promotion_id': 'MCO579339384-a93d28cd-8b11-4a7a-9331-8395c44dc4a2', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 461, 'campaign_discount_percentage': 28.11, 'campaign_end_date': '2022-02-19T13:00:00Z', 'order_item_price': 8219}}]",{'display_currency': 'COP'},[],[],[],12,684.92,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,6,,Nuevo,Batidor  Manual,6,0,1,1
MCO614000745,MCO,Silla Escritorio Ejecutiva Neumatica Brazos Ecocuero Negra,212415,,COP,1,100,buy_it_now,gold_special,2041-10-25T20:31:39.000Z,new,https://articulo.mercadolibre.com.co/MCO-614000745-silla-escritorio-ejecutiva-neumatica-brazos-ecocuero-negra-_JM,http://http2.mlstatic.com/D_888518-MCO45374926729_032021-O.jpg,888518-MCO45374926729_032021,True,249900,MCO113544,,MCO-OFFICE_CHAIRS,,40,False,,,,,,627348567,,,False,False,,MCO614000745,"[{'id': '40', 'type': 'standard', 'amount': 249900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-20T16:06:35Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '43', 'type': 'promotion', 'amount': 212415, 'regular_amount': 249900, 'currency_id': 'COP', 'last_updated': '2022-02-16T18:58:14Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-16T05:00:00Z', 'end_time': '2022-02-22T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1632270-MCO614000745', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,5900.42,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Bosa,,,6,MDesign,Nuevo,2021,5,0,1,1
MCO631391097,MCO,Silla Operativa Oficina Con Brazos Syam,329400,,COP,1,50,buy_it_now,gold_pro,2041-05-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-631391097-silla-operativa-oficina-con-brazos-syam-_JM,http://http2.mlstatic.com/D_702824-MCO47310923560_082021-O.jpg,702824-MCO47310923560_082021,True,360000,MCO113544,1568.0,MCO-OFFICE_CHAIRS,,39,False,,,,,,149423072,,,False,False,,MCO631391097,"[{'id': '2', 'type': 'standard', 'amount': 360000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-09T12:08:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '47', 'type': 'promotion', 'amount': 312900, 'regular_amount': 360000, 'currency_id': 'COP', 'last_updated': '2022-02-10T12:47:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T05:00:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4023001', 'promotion_id': 'MCO631391097-548ba355-6ffb-420e-8749-62a64cb9a144', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 25500, 'campaign_discount_percentage': 13.08, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 338400}}, {'id': '48', 'type': 'promotion', 'amount': 306000, 'regular_amount': 360000, 'currency_id': 'COP', 'last_updated': '2022-02-10T12:47:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-10T12:46:48Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4182001', 'promotion_id': 'MCO631391097-281e8718-b887-4e0c-9aab-ea5c05a29cd6', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 23400, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 329400}}]",{'display_currency': 'COP'},[],[],[],12,27450.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Engativá,,,7,Ergonomus,Nuevo,SYAM,7,1,1,1
MCO612188838,MCO,Almohada Ortopedica Entre Piernas Espuma Viscoelastic Rodill,34900,,COP,1,250,buy_it_now,gold_special,2041-04-28T14:38:25.000Z,new,https://articulo.mercadolibre.com.co/MCO-612188838-almohada-ortopedica-entre-piernas-espuma-viscoelastic-rodill-_JM,http://http2.mlstatic.com/D_974553-MCO45227291644_032021-I.jpg,974553-MCO45227291644_032021,True,50000,MCO116389,,MCO-PILLOWS,,38,True,,,,,,229745544,,,False,False,,MCO612188838,"[{'id': '7', 'type': 'standard', 'amount': 39700, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-06T22:48:40Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'promotion', 'amount': 34900, 'regular_amount': 50000, 'currency_id': 'COP', 'last_updated': '2021-12-14T02:41:46Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,969.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTTTI0MjE0,Usme,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Bogotá D.C.,Usme,,,8,Generico,Nuevo,Leg Pillow,7,1,1,1
MCO610870561,MCO,Silla Gamer Ergonomica Pro Juvenil Con Reposa-pies Oficina,593314,,COP,250,50,buy_it_now,gold_special,2041-03-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-610870561-silla-gamer-ergonomica-pro-juvenil-con-reposa-pies-oficina-_JM,http://http2.mlstatic.com/D_686866-MCO48430380391_122021-O.jpg,686866-MCO48430380391_122021,True,689900,MCO177115,,MCO-OFFICE_CHAIRS,,37,False,,,,,,334526639,,,False,False,,MCO610870561,"[{'id': '19', 'type': 'standard', 'amount': 689900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-04T22:27:25Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '23', 'type': 'promotion', 'amount': 593314, 'regular_amount': 689900, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:02:13Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,16480.94,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,5,ZEYRUM COLOMBIA,Nuevo,9483,6,1,1,1
